TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,ACC_X,ACC_Y,ACC_Z,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT,SENSOR EVENT
0.0,337460,0,0,577,-191,1921,,,,,,,,,,2,0,128,0,120,3,0,128,0,90,
0.005,337431,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.01,337444,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.015,337452,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.02,337453,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.025,337433,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.03,337441,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.035,337442,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.04,337454,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.045,337440,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.05,337451,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.055,337448,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.06,337451,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.065,337449,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.07,337460,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.075,337457,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.08,337464,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.085,337447,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.09,337447,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.095,337448,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.1,337460,0,0,577,-191,1921,,,,,,,,,,,,,,,,,,,,
0.105,337447,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.11,337455,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.115,337457,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.12,337453,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.125,337453,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.13,337459,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.135,337451,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.14,337451,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.145,337454,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.15,337451,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.155,337459,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.16,337458,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.165,337461,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.17,337461,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.175,337456,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.18,337445,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.185,337455,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.19,337455,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.195,337456,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.2,337458,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.2002,,,,481,-95,1921,,,,,,,,,,,,,,,,,,,,
0.205,337466,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.21,337463,0,0,,,,,,,,,,,,,2,2,96,0,120,3,2,96,0,90,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.215,337462,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.22,337451,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.225,337461,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.23,337464,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.235,337464,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.24,337457,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.245,337454,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.25,337460,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.255,337452,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.26,337459,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.265,337449,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.27,337460,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.275,337456,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.28,337460,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.285,337453,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.29,337453,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.295,337461,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.29895,,,,481,-191,1921,,,,,,,,,,,,,,,,,,,,
0.3,337455,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.305,337449,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.31,337466,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.315,337456,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.32,337467,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.325,337460,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
