TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,ACC_X,ACC_Y,ACC_Z,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT,SENSOR EVENT
0.0,337337,0,0,961,289,1633,,,,,,,,,,2,0,128,0,120,3,0,128,0,90,
0.005,337325,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.01,337333,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.015,337335,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.02,337323,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.025,337324,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.03,337323,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.035,337321,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.04,337325,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.045,337320,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.05,337329,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.055,337338,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.06,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.065,337338,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.07,337321,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.075,337334,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.08,337334,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.085,337329,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.09,337335,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.095,337332,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.1,337334,0,0,-383,193,1249,,,,,,,,,,,,,,,,,,,,
0.105,337330,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.11,337329,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.115,337340,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.12,337324,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.125,337329,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.13,337323,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.135,337335,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.14,337337,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.145,337334,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.15,337330,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.155,337330,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.16,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.165,337330,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.17,337335,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.175,337326,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.18,337319,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.185,337324,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.19,337330,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.195,337324,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.2,337324,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.2002,,,,-1055,193,1153,,,,,,,,,,,,,,,,,,,,
0.205,337314,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.21,337335,0,0,,,,,,,,,,,,,2,2,96,0,120,3,2,96,0,90,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.215,337332,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.22,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.225,337344,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.23,337338,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.235,337338,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.24,337330,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.245,337329,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.25,337338,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.255,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.26,337340,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.265,337333,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.27,337341,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.275,337346,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.28,337328,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.285,337340,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.29,337334,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.295,337328,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.29895,,,,-1439,193,961,,,,,,,,,,,,,,,,,,,,
0.3,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.305,337344,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.31,337343,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.315,337334,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.32,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.325,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.33,337333,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.335,337326,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.34,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.345,337333,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.35,337339,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.355,337334,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.36,337338,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.365,337335,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.37,337324,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.375,337333,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.38,337332,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.385,337332,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.39,337332,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.395,337327,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.397532,,,,-1631,193,961,,,,,,,,,,,,,,,,,,,,
0.4,337337,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.405,337322,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.41,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.415,337332,0,0,,,,,,,,,,,,,2,2,64,0,120,3,2,64,0,90,
0.42,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.425,337334,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.43,337330,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.435,337334,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.44,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.445,337333,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.45,337333,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.455,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.46,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.465,337326,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.47,337328,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.475,337329,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.48,337328,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.485,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.49,337328,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.495,337335,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.49604,,,,-1631,193,961,,,,,,,,,,,,,,,,,,,,
0.5,337332,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.505,337333,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.51,337333,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.515,337329,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.52,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.525,337327,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.53,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.535,337330,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.54,337345,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.545,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.55,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
